nflores 43303 Wed Mar  8 22:36:20 2017

Avatar id: 0; (x,y) = (12, 59); move = 2 
Avatar id: 1; (x,y) = (66, 52); move = 2 
Avatar id: 2; (x,y) = (57, 57); move = 2 
Avatar id: 3; (x,y) = (10, 92); move = 2 
Avatar id: 0; (x,y) = (12, 59); move = 3 
Avatar id: 1; (x,y) = (66, 53); move = 3 
Avatar id: 2; (x,y) = (57, 58); move = 3 
Avatar id: 3; (x,y) = (10, 92); move = 0 
Avatar id: 0; (x,y) = (13, 59); move = 1 
Avatar id: 1; (x,y) = (67, 53); move = 1 
Avatar id: 2; (x,y) = (57, 58); move = 2 
Avatar id: 3; (x,y) = (9, 92); move = 2 
Avatar id: 0; (x,y) = (13, 59); move = 3 
Avatar id: 1; (x,y) = (67, 53); move = 3 
Avatar id: 2; (x,y) = (57, 58); move = 0 
Avatar id: 3; (x,y) = (9, 92); move = 0 
Avatar id: 0; (x,y) = (13, 59); move = 2 
Avatar id: 1; (x,y) = (68, 53); move = 1 
Avatar id: 2; (x,y) = (56, 58); move = 2 
Avatar id: 3; (x,y) = (8, 92); move = 2 
Avatar id: 0; (x,y) = (13, 60); move = 3 
Avatar id: 1; (x,y) = (68, 53); move = 3 
Avatar id: 2; (x,y) = (56, 59); move = 3 
Avatar id: 3; (x,y) = (8, 92); move = 0 
Avatar id: 0; (x,y) = (13, 60); move = 2 
Avatar id: 1; (x,y) = (69, 53); move = 1 
Avatar id: 2; (x,y) = (57, 59); move = 1 
Avatar id: 3; (x,y) = (8, 92); move = 1 
Avatar id: 0; (x,y) = (13, 60); move = 0 
Avatar id: 1; (x,y) = (69, 53); move = 3 
Avatar id: 2; (x,y) = (57, 59); move = 3 
Avatar id: 3; (x,y) = (8, 92); move = 3 
Avatar id: 0; (x,y) = (12, 60); move = 2 
Avatar id: 1; (x,y) = (70, 53); move = 1 
Avatar id: 2; (x,y) = (57, 59); move = 2 
Avatar id: 3; (x,y) = (9, 92); move = 1 
Avatar id: 0; (x,y) = (12, 61); move = 3 
Avatar id: 1; (x,y) = (70, 53); move = 3 
Avatar id: 2; (x,y) = (57, 59); move = 0 
Avatar id: 3; (x,y) = (9, 91); move = 0 
Avatar id: 0; (x,y) = (12, 61); move = 2 
Avatar id: 1; (x,y) = (71, 53); move = 1 
Avatar id: 2; (x,y) = (56, 59); move = 2 
Avatar id: 3; (x,y) = (8, 91); move = 2 
Avatar id: 0; (x,y) = (12, 62); move = 3 
